----------------------------------------------------------------------
|                       M2Det Training Program                       |
----------------------------------------------------------------------
===> Constructing M2Det model
Initializing weights for [tums, reduce, up_reduce, leach, loc, conf]...
===> Loading Dataset...
===> Training M2Det on VOC
Time:Thu Dec 22 03:25:20 2022||Epoch:1||EpochIter:350/454||Iter:350||Loss_L:2.0503||Loss_C:4.1607||Batch_Time:0.6732||LR:0.0006176
Time:Thu Dec 22 03:25:27 2022||Epoch:1||EpochIter:360/454||Iter:360||Loss_L:2.2931||Loss_C:3.9433||Batch_Time:0.6728||LR:0.0006352
Time:Thu Dec 22 03:25:33 2022||Epoch:1||EpochIter:370/454||Iter:370||Loss_L:3.1250||Loss_C:4.4504||Batch_Time:0.6735||LR:0.0006528
Time:Thu Dec 22 03:25:40 2022||Epoch:1||EpochIter:380/454||Iter:380||Loss_L:1.9331||Loss_C:4.0127||Batch_Time:0.6749||LR:0.0006704
Time:Thu Dec 22 03:25:47 2022||Epoch:1||EpochIter:390/454||Iter:390||Loss_L:2.6383||Loss_C:4.1036||Batch_Time:0.6738||LR:0.0006881
Time:Thu Dec 22 03:25:54 2022||Epoch:1||EpochIter:400/454||Iter:400||Loss_L:2.1863||Loss_C:4.0854||Batch_Time:0.6728||LR:0.0007057
Time:Thu Dec 22 03:26:00 2022||Epoch:1||EpochIter:410/454||Iter:410||Loss_L:2.6483||Loss_C:4.0503||Batch_Time:0.6737||LR:0.0007233
Time:Thu Dec 22 03:26:07 2022||Epoch:1||EpochIter:420/454||Iter:420||Loss_L:2.0928||Loss_C:4.0134||Batch_Time:0.6731||LR:0.0007409
Time:Thu Dec 22 03:26:14 2022||Epoch:1||EpochIter:430/454||Iter:430||Loss_L:2.3038||Loss_C:4.2413||Batch_Time:0.6748||LR:0.0007585
Time:Thu Dec 22 03:26:21 2022||Epoch:1||EpochIter:440/454||Iter:440||Loss_L:2.3354||Loss_C:4.0537||Batch_Time:0.6738||LR:0.0007761
Time:Thu Dec 22 03:26:28 2022||Epoch:1||EpochIter:450/454||Iter:450||Loss_L:2.1680||Loss_C:3.9688||Batch_Time:0.6729||LR:0.0007938
Time:Thu Dec 22 03:26:38 2022||Epoch:2||EpochIter:6/454||Iter:460||Loss_L:3.4190||Loss_C:5.0381||Batch_Time:0.6758||LR:0.0008114
Time:Thu Dec 22 03:26:45 2022||Epoch:2||EpochIter:16/454||Iter:470||Loss_L:3.5669||Loss_C:4.5997||Batch_Time:0.6717||LR:0.0008290
Time:Thu Dec 22 03:26:51 2022||Epoch:2||EpochIter:26/454||Iter:480||Loss_L:1.8915||Loss_C:3.8485||Batch_Time:0.6723||LR:0.0008466
Time:Thu Dec 22 03:26:58 2022||Epoch:2||EpochIter:36/454||Iter:490||Loss_L:2.2090||Loss_C:4.0835||Batch_Time:0.6724||LR:0.0008642
Time:Thu Dec 22 03:27:05 2022||Epoch:2||EpochIter:46/454||Iter:500||Loss_L:3.6632||Loss_C:5.1840||Batch_Time:0.6735||LR:0.0008818
Time:Thu Dec 22 03:27:12 2022||Epoch:2||EpochIter:56/454||Iter:510||Loss_L:2.0216||Loss_C:3.8890||Batch_Time:0.6728||LR:0.0008995
Time:Thu Dec 22 03:27:19 2022||Epoch:2||EpochIter:66/454||Iter:520||Loss_L:1.5894||Loss_C:4.0410||Batch_Time:0.6742||LR:0.0009171
Time:Thu Dec 22 03:27:25 2022||Epoch:2||EpochIter:76/454||Iter:530||Loss_L:2.1217||Loss_C:3.8934||Batch_Time:0.6735||LR:0.0009347
Time:Thu Dec 22 03:27:32 2022||Epoch:2||EpochIter:86/454||Iter:540||Loss_L:1.8374||Loss_C:3.8989||Batch_Time:0.6725||LR:0.0009523
Time:Thu Dec 22 03:27:39 2022||Epoch:2||EpochIter:96/454||Iter:550||Loss_L:2.8003||Loss_C:4.0788||Batch_Time:0.6749||LR:0.0009699
Time:Thu Dec 22 03:27:46 2022||Epoch:2||EpochIter:106/454||Iter:560||Loss_L:2.5887||Loss_C:3.8056||Batch_Time:0.6736||LR:0.0009875
Time:Thu Dec 22 03:27:52 2022||Epoch:2||EpochIter:116/454||Iter:570||Loss_L:4.0818||Loss_C:4.4403||Batch_Time:0.6740||LR:0.0010052
Time:Thu Dec 22 03:27:59 2022||Epoch:2||EpochIter:126/454||Iter:580||Loss_L:2.0528||Loss_C:3.9315||Batch_Time:0.6742||LR:0.0010228
Time:Thu Dec 22 03:28:06 2022||Epoch:2||EpochIter:136/454||Iter:590||Loss_L:2.4372||Loss_C:4.0043||Batch_Time:0.6733||LR:0.0010404
Time:Thu Dec 22 03:28:13 2022||Epoch:2||EpochIter:146/454||Iter:600||Loss_L:2.9803||Loss_C:3.9514||Batch_Time:0.6738||LR:0.0010580
Time:Thu Dec 22 03:28:20 2022||Epoch:2||EpochIter:156/454||Iter:610||Loss_L:2.3026||Loss_C:3.7935||Batch_Time:0.6719||LR:0.0010756
Time:Thu Dec 22 03:28:26 2022||Epoch:2||EpochIter:166/454||Iter:620||Loss_L:2.1762||Loss_C:4.2165||Batch_Time:0.6739||LR:0.0010932
Time:Thu Dec 22 03:28:33 2022||Epoch:2||EpochIter:176/454||Iter:630||Loss_L:2.3452||Loss_C:3.9590||Batch_Time:0.6739||LR:0.0011109
Time:Thu Dec 22 03:28:40 2022||Epoch:2||EpochIter:186/454||Iter:640||Loss_L:2.5014||Loss_C:3.7806||Batch_Time:0.6724||LR:0.0011285
Time:Thu Dec 22 03:28:47 2022||Epoch:2||EpochIter:196/454||Iter:650||Loss_L:2.3967||Loss_C:3.4936||Batch_Time:0.6728||LR:0.0011461
Time:Thu Dec 22 03:28:54 2022||Epoch:2||EpochIter:206/454||Iter:660||Loss_L:6.6023||Loss_C:6.6433||Batch_Time:0.6737||LR:0.0011637
Time:Thu Dec 22 03:29:00 2022||Epoch:2||EpochIter:216/454||Iter:670||Loss_L:4.0492||Loss_C:4.6385||Batch_Time:0.6757||LR:0.0011813
Time:Thu Dec 22 03:29:07 2022||Epoch:2||EpochIter:226/454||Iter:680||Loss_L:2.5187||Loss_C:4.1475||Batch_Time:0.6729||LR:0.0011989
